,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Rating
193,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5130000.0,68.0,7.6,T
196,Guitar Hero II,PS2,2006,Misc,RedOctane,5120000.0,92.0,8.5,T
197,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5100000.0,80.0,6.5,M
199,Resident Evil 5,PS3,2009,Action,Capcom,5090000.0,84.0,7.5,M
200,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5080000.0,90.0,8.0,E
202,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5070000.0,89.0,8.0,E
203,Resident Evil,PS,1996,Action,Virgin Interactive,5050000.0,91.0,9.0,M
204,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5030000.0,86.0,8.0,M
205,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,5020000.0,92.0,9.2,T
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4980000.0,82.0,8.2,T
209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,4980000.0,68.0,7.1,T
211,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4930000.0,93.0,8.5,M
212,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,4920000.0,88.0,8.1,T
213,Madden NFL 06,PS2,2005,Sports,Electronic Arts,4910000.0,88.0,8.0,E
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4840000.0,93.0,8.2,T
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,4820000.0,81.0,7.3,M
220,God of War III,PS3,2010,Action,Sony Computer Entertainment,4800000.0,92.0,8.7,M
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4790000.0,88.0,9.0,E
222,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4760000.0,80.0,5.4,E
223,Driver 2,PS,2000,Action,Atari,4730000.0,62.0,7.7,T
224,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4730000.0,94.0,8.7,T
227,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,4680000.0,98.0,7.7,T
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4670000.0,82.0,8.2,T
229,Tomb Raider,PS,1996,Action,Eidos Interactive,4630000.0,91.0,8.6,T
230,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4620000.0,73.0,7.6,E
231,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4620000.0,86.0,8.1,T
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4600000.0,96.0,8.9,E
234,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4600000.0,86.0,8.4,T
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4590000.0,86.0,8.4,E
236,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4570000.0,91.0,8.2,E
238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4530000.0,91.0,7.9,E
